"VideoID","PublishedDate","Title","Description","ViewCount","LikeCount","DislikeCount","FavoriteCount","CommentCount","Duration"
"8AzayWIctgk","2013-10-15T01:04:11.000Z","Drew Barrymore Monologue: Audience Questions - Saturday Night Live","Subscribe to SaturdayNightLive: http://j.mp/1bjU39d
Monologues: http://j.mp/16NdBBC
SEASON 8: http://j.mp/16USwlL

Drew Barrymore answers audience questions.  Aired 11/20/82",113768,624,6,0,39,"PT4M14S"
"8MKV6EzH-Qk","2013-10-15T01:04:10.000Z","Drew Barrymore Monologue: Barrymore Dynasty - Saturday Night Live","Subscribe to SaturdayNightLive: http://j.mp/1bjU39d
Monologues: http://j.mp/16NdBBC
SEASON 35: http://j.mp/1bKK7oV
Celebrity Impressions: http://j.mp/1bEY4ok

Drew recounts the history of the Barrymore Dynasty.  Aired 10/10/09",103867,499,5,0,23,"PT4M57S"
"9WMiLa4Oj2I","2013-10-15T01:06:16.000Z","Drew Barrymore Bids Goodnight - Saturday Night Live","Subscribe to SaturdayNightLive: http://j.mp/1bjU39d
SEASON 8: http://j.mp/16USwlL

Drew Barrymore bids America goodnight.  Aired 11/20/82",10262,38,1,0,2,"PT1M40S"
"a7FsNOzGutI","2013-10-14T23:05:46.000Z","Wall Street Week - Saturday Night Live","Subscribe to SaturdayNightLive: http://j.mp/1bjU39d
SEASON 13: http://j.mp/1ett5fW
Business Parodies: http://j.mp/187G4l5
News and Current Events: http://j.mp/1dH7IF0

On the heels of the stock market crash, Louis Rukeyser welcomes guests, including a suicidal former Wall Street whiz kid, nervous ruined investors, and Future Man.  Aired 10/24/87",2200,11,0,0,0,"PT8M51S"
"ap5F5WoFw5w","2013-10-14T21:44:48.000Z","Rudy Giuliani Cold Opening: Judith Nathan - Saturday Night Live","Subscribe to SaturdayNightLive: http://j.mp/1bjU39d
SEASON 26: http://j.mp/16iEwTq
Cold Openings: http://j.mp/18oRjll

NYC Mayor Rudy Giuliani hides his good friend, Judith Nathan, in Gracie Mansion.  Aired 05/19/01",3775,11,0,0,0,"PT3M31S"
"Br9FuKUQB1c","2013-10-14T22:14:05.000Z","It's Pat: Physical Evaluation - Saturday Night Live","Subscribe to SaturdayNightLive: http://j.mp/1bjU39d
SEASON 17: http://j.mp/GRzV0c
It's Pat: http://j.mp/1bkIv5W
Classic Characters: http://j.mp/GIXdWz

Pat goes to the gym for a physical evaluation. And of course, the trainer is exceedingly confused about Pat's personal history.  Aired 11/16/91",22756,78,15,0,7,"PT7M30S"
"bZHSf__T0qc","2013-10-14T22:31:43.000Z","David Spade: Hollywood Minute - Saturday Night Live","Subscribe to SaturdayNightLive: http://j.mp/1bjU39d
SEASON 16: http://j.mp/1g9grSE
Weekend Update: Guests: http://j.mp/1fHpwyV
News and Current Events: http://j.mp/1dH7IF0

David Spade comments on what's in and what's out in 1991.  Aired 01/19/91",4757,21,1,0,0,"PT2M37S"
"chXg9YbL2Rs","2013-10-14T23:00:59.000Z","Danny Devito Monologue:  Arnold Schwarzenegger - Saturday Night Live","Subscribe to SaturdayNightLive: http://j.mp/1bjU39d
Monologues: http://j.mp/16NdBBC
Surprise Guests: http://j.mp/1dOFIiQ
SEASON 14: http://j.mp/19D1x0C

Danny DeVito's monologue. He's so pumped he asks to come out and do the montage again, with a little help form Arnold Schwarzenegger.  Aired 12/03/88",23606,94,6,0,9,"PT4M54S"
"cVCC107lhuY","2013-10-14T22:31:31.000Z","David Spade's Hollywood Minute - Saturday Night Live","Subscribe to SaturdayNightLive: http://j.mp/1bjU39d
SEASON 18: http://j.mp/170knyb
Weekend Update: Guests: http://j.mp/1fHpwyV

Hollywood Minute with David Spade.  Aired 11/21/92",4859,29,0,0,1,"PT3M1S"
"CZRFEVTcHOY","2013-10-14T21:53:04.000Z","Weekend Update Thursday: Franz and Malkovich - Saturday Night Live","Subscribe to SaturdayNightLive: http://j.mp/1bjU39d
SEASON 35: http://j.mp/1bKK7oV
Weekend Update: Guests: http://j.mp/1fHpwyV

Dennis Franz & John Malkovich make their Olympic plea for Chicago with some help from Oprah.  Aired 10/01/09",37361,103,5,0,8,"PT5M7S"
"dCu38dM6oBA","2013-10-14T21:44:30.000Z","Meet the Press: John McCain - Saturday Night Live","Subscribe to SaturdayNightLive: http://j.mp/1bjU39d
SEASON 28: http://j.mp/1bqwSJN
News and Current Events: http://j.mp/1dH7IF0

Tim Russert won't stop asking Senator John McCain if he'll run for President again in 2004.  Aired 10/19/02",3722,28,1,0,3,"PT6M14S"
"EjFg3uDV1kQ","2013-10-14T23:06:28.000Z","Adventures of Koko - Saturday Night Live","Subscribe to SaturdayNightLive: http://j.mp/1bjU39d
SEASON 12: http://j.mp/19q4cya
Talk Shows: http://j.mp/170pPA5

Miss Connie's Fable Nook looks at the story of Koko, Mischu and Lebee.  Aired 02/14/87",634,3,0,0,0,"PT5M10S"
"FTgAC3_wJbA","2013-10-14T21:44:23.000Z","Update Thursday: Jesse Jackson/Goodnights 10/16 - Saturday Night Live","Subscribe to SaturdayNightLive: http://j.mp/1bjU39d
SEASON 34: http://j.mp/15sB2Pw
Update Thursdays: http://j.mp/19pPxD0

Jesse Jackson on the ""Bradley Effect"" and goodnights  Aired 10/16/08",1832,4,0,0,1,"PT2M58S"
